id_grupo,prioridad,familia,bloque,celdas_incluidas,rango_resumido,cantidad_decisiones_agrupadas,problema_comun,formula_patron_comun,explicacion_simple,riesgo_si_migra_tal_cual,decision_recomendada_por_defecto,opciones_usuario,decision_usuario,comentario_usuario
GRP-001,1,XL 32x70,SB04,W22,W22,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en W22:W22 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-019,1,XL 32x70,SB04,X22,X22,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X22:X22 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-008,1,XL 32x70,SB04,X23,X23,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X23:X23 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-020,1,XL 32x70,SB04,X23,X23,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X23:X23 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-009,1,XL 32x70,SB04,X24,X24,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X24:X24 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-021,1,XL 32x70,SB04,X24,X24,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X24:X24 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-010,1,XL 32x70,SB04,X25,X25,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X25:X25 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-022,1,XL 32x70,SB04,X25,X25,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X25:X25 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-011,1,XL 32x70,SB04,X26,X26,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X26:X26 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-023,1,XL 32x70,SB04,X26,X26,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X26:X26 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-012,1,XL 32x70,SB04,X27,X27,1,salida_sin_explicacion_coste_impresion,CELL-CELL,Casos repetidos en X27:X27 con mismo problema y patrón.,Riesgo alto por ausencia de explicación técnica suficiente; posible desvío de precio.,REQUIERE_REVISION_MANUAL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-024,1,XL 32x70,SB04,X27,X27,1,salida_sin_explicacion_coste_papel,CELL-CELL,Casos repetidos en X27:X27 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-025,2,A3 PLUS pack color,SB07,AB48,AB48,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AB48:AB48 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-026,2,A3 PLUS pack color,SB07,AB49,AB49,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AB49:AB49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-027,2,A3 PLUS pack color,SB07,AC48,AC48,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC48:AC48 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-028,2,A3 PLUS pack color,SB07,AC49,AC49,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC49:AC49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-029,2,A3 PLUS pack color,SB07,AD48,AD48,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AD48:AD48 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-030,2,A3 PLUS pack color,SB07,AD49,AD49,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AD49:AD49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-031,2,A3 PLUS pack color,SB07,AE48,AE48,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AE48:AE48 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-032,2,A3 PLUS pack color,SB07,AE49,AE49,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AE49:AE49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-033,2,A3 PLUS pack color,SB07,AI49,AI49,1,salida_sin_explicacion_coste_papel,(CELL+CELL)-1,Casos repetidos en AI49:AI49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-034,2,A3 PLUS pack color,SB07,AM45,AM45,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AM45:AM45 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-035,2,A3 PLUS pack color,SB07,AO49,AO49,1,salida_sin_explicacion_coste_papel,CELL+CELL,Casos repetidos en AO49:AO49 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-036,3,XA3 ByN,SB08,AA54,AA54,1,salida_sin_explicacion_coste_papel,CELL,Casos repetidos en AA54:AA54 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-037,3,XA3 ByN,SB08,AA55,AA55,1,salida_sin_explicacion_coste_papel,CELL,Casos repetidos en AA55:AA55 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-038,3,XA3 ByN,SB08,AB54,AB54,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AB54:AB54 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-039,3,XA3 ByN,SB08,AB55,AB55,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AB55:AB55 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-040,3,XA3 ByN,SB08,AC54,AC54,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC54:AC54 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-041,3,XA3 ByN,SB08,AC55,AC55,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC55:AC55 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-042,3,XA3 ByN,SB08,AC58,AC58,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC58:AC58 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-043,3,XA3 ByN,SB08,AD54,AD54,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AD54:AD54 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-044,3,XA3 ByN,SB08,AD55,AD55,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AD55:AD55 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-045,3,XA3 ByN,SB08,AD58,AD58,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AD58:AD58 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-046,3,XA3 ByN,SB08,AE54,AE54,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AE54:AE54 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-047,3,XA3 ByN,SB08,AE55,AE55,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AE55:AE55 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-048,3,XA3 ByN,SB08,AE58,AE58,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AE58:AE58 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-049,4,XL ByN,SB09,AC63,AC63,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en AC63:AC63 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
GRP-050,4,XL ByN,SB09,X63,X63,1,salida_sin_explicacion_coste_papel,CELL*CELL,Casos repetidos en X63:X63 con mismo problema y patrón.,Riesgo alto de migrar precio sin justificación completa de componentes.,RECALCULAR_DESDE_COSTO_PAPEL,CONSERVAR_PRECIO_EXCEL | RECALCULAR_DESDE_COSTO_PAPEL | RECALCULAR_DESDE_COSTO_PAPEL_E_IMPRESION | CREAR_REGLA_NUEVA | DESCARTAR_COMO_OBSOLETO | REQUIERE_REVISION_MANUAL,,
